asset,tf,family,donchian,ma_len,atr_k_entry,atr_k_trail,scale_in_layers,scale_in_gap_atr,partial_tp_r,partial_tp_frac,Sharpe,Sortino,Calmar,MaxDD,ProfitFactor,Ulcer,rsi_len,rsi_low_high,bb_len,bb_dev,mean_exit,max_layers,adx_len,adx_thr,vol_z_thr,hysteresis
EURUSD,1h,V3_TF,20.0,50.0,1.5,2.0,3.0,1.2,1.5,0.5,1.5640076241131255,1.9575010932673662,1.401616365871824,0.2174666660787397,1.4390558569170269,11.663721763852973,,,,,,,,,,
EURUSD,1h,V3_TF,60.0,200.0,1.5,3.0,2.0,1.0,2.0,0.33,0.9678923274052452,1.3216430449369425,0.7617602190854869,0.13919552980414396,2.475869999567182,5.947455866448505,,,,,,,,,,
EURUSD,1h,V3_TF,40.0,100.0,2.0,2.0,1.0,0.8,2.0,0.33,1.1452528764426981,1.4592603927079693,0.6159287135266401,0.14190515149868183,2.3091673842142413,14.705429453343775,,,,,,,,,,
EURUSD,1h,V3_TF,20.0,200.0,1.0,1.5,1.0,0.8,2.0,0.5,1.7611201257591473,2.1119655591509097,1.112695747814002,0.0650723581524909,2.193491394331553,12.894852283384946,,,,,,,,,,
EURUSD,1h,V3_TF,20.0,50.0,1.5,1.5,0.0,1.2,1.5,0.5,0.5273288244960046,0.6249931926105898,0.3997730897907545,0.17370995134620704,2.3167024414476987,5.003048494444736,,,,,,,,,,
EURUSD,1h,V3_TF,20.0,50.0,2.0,2.0,1.0,1.0,1.5,0.33,1.360376825363254,1.5824377186349354,1.3044870099691042,0.06660834173353432,1.8800857832123599,5.8254107265124535,,,,,,,,,,
EURUSD,1h,V3_TF,40.0,100.0,1.0,2.0,0.0,0.8,1.5,0.33,1.641125315130351,1.9809527096323336,0.9571192465154716,0.060018953106297325,1.4019821386180338,10.231025843056162,,,,,,,,,,
EURUSD,1h,V3_TF,40.0,50.0,2.0,3.0,2.0,1.2,1.5,0.33,1.538309562613258,2.0876705400138174,1.5307481540788384,0.16837275463433582,2.0503781141964526,6.527116894817036,,,,,,,,,,
EURUSD,1h,V3_TF,20.0,50.0,1.5,3.0,3.0,1.2,2.0,0.33,0.5693336845246193,0.7105643943060076,0.5627113026950674,0.09260226841693549,1.8770246003116924,5.35202051596169,,,,,,,,,,
EURUSD,1h,V3_TF,20.0,200.0,1.0,3.0,2.0,0.8,1.5,0.5,1.084538255855863,1.3884368422944695,0.6733123707459079,0.11926259872481576,2.0328450740569153,6.350231027410651,,,,,,,,,,
EURUSD,1h,V3_TF,20.0,50.0,2.0,2.0,2.0,1.2,2.0,0.5,1.9887457540590452,2.5313794851898668,1.6934492843966327,0.19885574560911623,1.6007316426669194,5.768862979906213,,,,,,,,,,
EURUSD,1h,V3_TF,40.0,200.0,1.0,3.0,0.0,0.8,1.5,0.5,1.6419547957977443,2.192677497878735,1.5409973943904247,0.1585414799888034,1.5504406456005775,14.108479623676576,,,,,,,,,,
EURUSD,1h,V3_TF,40.0,100.0,1.0,1.5,0.0,1.2,2.0,0.33,0.7422741721600763,0.8188853292433788,0.5380307635405567,0.0665530898551217,1.586210437905338,7.559763894764452,,,,,,,,,,
EURUSD,1h,V3_TF,20.0,50.0,1.5,3.0,0.0,0.8,2.0,0.33,1.8695731243967917,2.4780573011652947,1.4745694138808745,0.09442154306768458,1.5985736843047933,7.28959087683191,,,,,,,,,,
EURUSD,1h,V3_TF,60.0,100.0,2.0,2.0,2.0,0.8,2.0,0.33,1.6733250188183693,2.2529942394294773,1.4889846279710857,0.16675560163809056,1.3891846462822186,12.946302182688779,,,,,,,,,,
EURUSD,1h,V3_TF,40.0,200.0,1.5,1.5,1.0,0.8,1.5,0.33,1.5294508853655575,1.693644135316278,1.3289085068947961,0.11053844139706855,1.7924234977376514,10.248094889506007,,,,,,,,,,
EURUSD,1h,V3_TF,20.0,100.0,1.0,2.0,2.0,0.8,2.0,0.5,1.1265873199549181,1.4197780038783916,0.7828684325299736,0.16571768264621844,1.3681502962672705,9.922148840643459,,,,,,,,,,
EURUSD,1h,V3_TF,60.0,200.0,2.0,3.0,3.0,1.0,1.5,0.33,1.4799159229603853,1.989039778954845,0.9770601750223783,0.06772217402607382,1.788446707441778,14.429968782525558,,,,,,,,,,
EURUSD,1h,V3_TF,20.0,200.0,1.0,2.0,0.0,0.8,2.0,0.33,0.8425062390228018,0.939371113621313,0.586965230852722,0.0919535247816328,1.958482744686866,8.330141717310202,,,,,,,,,,
EURUSD,1h,V3_TF,40.0,200.0,2.0,3.0,3.0,0.8,2.0,0.5,1.5951875302207652,2.106484965389015,1.4945915946581754,0.2209729433373338,2.3791852077368087,12.282464018398542,,,,,,,,,,
EURUSD,1h,V3_TF,40.0,200.0,2.0,3.0,2.0,0.8,1.5,0.5,1.1883700855954542,1.625969177158162,0.9965926327736837,0.13976084941243966,2.236981678290703,9.06390579017917,,,,,,,,,,
EURUSD,1h,V3_TF,60.0,200.0,2.0,3.0,3.0,1.0,1.5,0.5,1.379140132211461,1.588269159296889,1.0160722285421018,0.05727997449533824,2.1708965285541613,7.792400234023061,,,,,,,,,,
EURUSD,1h,V3_TF,20.0,50.0,1.5,3.0,1.0,0.8,1.5,0.5,1.6759095727622162,1.9356557017349458,1.061307733943153,0.2346434706829308,1.2184007291793426,11.072590350910225,,,,,,,,,,
EURUSD,1h,V3_TF,40.0,200.0,1.5,2.0,0.0,1.2,2.0,0.5,1.2046383685970614,1.4106093916731755,1.1113158267085606,0.14021544159922567,1.2778820549791463,6.3110411002801525,,,,,,,,,,
EURUSD,1h,V3_TF,40.0,200.0,1.5,2.0,3.0,1.2,2.0,0.33,1.2340876915883556,1.6180335656508482,1.0656650390113378,0.17304120091077727,1.297991121511269,11.912611176512122,,,,,,,,,,
EURUSD,1h,V3_TF,40.0,50.0,2.0,1.5,3.0,1.0,1.5,0.33,1.6211603085669286,1.8666171756701613,1.3419530058136195,0.1790444877540891,2.1614376186433155,7.046404555629171,,,,,,,,,,
EURUSD,1h,V3_TF,20.0,50.0,1.5,2.0,0.0,1.2,2.0,0.5,1.3876579253140908,1.8597453598945295,0.8130747638853569,0.13336850950710527,1.8276765170357647,10.502834256272713,,,,,,,,,,
EURUSD,1h,V3_TF,20.0,200.0,1.0,1.5,3.0,1.0,1.5,0.5,1.7509865922730885,2.1472928125745283,0.8769194562750181,0.19677296415147072,1.5280979965701198,5.427411921927362,,,,,,,,,,
EURUSD,1h,V3_TF,20.0,50.0,1.5,1.5,3.0,1.2,2.0,0.33,1.5308530581646438,1.9500347624118994,1.4170071679276284,0.21282607147471017,2.1315723183828266,7.987201242264421,,,,,,,,,,
EURUSD,1h,V3_TF,40.0,200.0,1.0,3.0,2.0,0.8,1.5,0.33,1.3609595028020116,1.8490448201406757,1.3159317805502357,0.24225375715723202,2.4596316622397905,8.847071411395,,,,,,,,,,
EURUSD,1h,V3_TF,60.0,200.0,1.0,2.0,1.0,0.8,1.5,0.33,1.5700625550648764,2.0503407490272045,1.5445801501160632,0.17559410644587808,1.838379644889701,6.776601761931246,,,,,,,,,,
EURUSD,1h,V3_TF,20.0,100.0,1.0,3.0,1.0,1.0,1.5,0.5,0.6843415235154808,0.9151350852904842,0.4882673841305929,0.10451808923562532,1.9155193210174855,10.187860629128739,,,,,,,,,,
EURUSD,1h,V3_TF,20.0,200.0,2.0,1.5,2.0,1.2,2.0,0.33,0.6946882181665215,0.8796490674963657,0.4314086539609163,0.17651949904507563,1.5077101697121942,6.49202561377734,,,,,,,,,,
EURUSD,1h,V3_TF,40.0,50.0,2.0,3.0,3.0,0.8,1.5,0.33,0.8946624447758074,1.0070345338949285,0.6522544595893388,0.06793034255926632,2.484940991529806,9.45156810952417,,,,,,,,,,
EURUSD,1h,V3_TF,20.0,100.0,1.5,1.5,1.0,0.8,2.0,0.33,0.5203637983399563,0.6123117291508574,0.4684699968148262,0.14683424466586487,1.541616301904272,11.931025018681876,,,,,,,,,,
EURUSD,1h,V3_TF,40.0,200.0,1.0,2.0,0.0,1.0,2.0,0.33,1.5906243984557273,2.1006098642483804,1.5349151068986973,0.1838893475188485,2.3778242552531523,9.053668509578397,,,,,,,,,,
EURUSD,1h,V3_TF,20.0,100.0,1.0,2.0,0.0,0.8,2.0,0.33,0.7432767607505397,0.8176503451826005,0.3722372946729982,0.1172030183523961,1.9388291220095133,8.941037670563949,,,,,,,,,,
EURUSD,1h,V3_TF,40.0,200.0,1.5,1.5,2.0,1.2,2.0,0.33,1.2869520219274069,1.6590593166704986,1.220025127286774,0.22923322254917672,1.2851480646541775,12.849896941547852,,,,,,,,,,
EURUSD,1h,V3_TF,20.0,200.0,2.0,3.0,1.0,0.8,2.0,0.5,0.5123799682876258,0.6122018682044921,0.30388649239306054,0.23699319255418588,1.7906277991672552,6.9220027069376595,,,,,,,,,,
EURUSD,1h,V3_TF,40.0,200.0,1.0,3.0,3.0,0.8,2.0,0.33,1.962096692720292,2.741632571851116,1.1937770389444176,0.23299607837021397,1.3042339119194937,5.232169276851291,,,,,,,,,,
EURUSD,1h,V3_TF,60.0,100.0,2.0,1.5,2.0,1.0,2.0,0.33,1.5754522835316092,1.9963095105619806,0.9782982771337647,0.1144311302898387,1.2139640583204427,12.169616680558697,,,,,,,,,,
EURUSD,1h,V3_TF,60.0,50.0,1.5,2.0,0.0,1.2,1.5,0.5,0.8887089292451418,1.0782333458353803,0.5896088959984469,0.18014475604121644,1.1338424605387565,13.39263658148287,,,,,,,,,,
EURUSD,1h,V3_TF,20.0,100.0,2.0,1.5,1.0,1.2,1.5,0.33,1.410103838275981,1.9370088639358558,1.1649532256441737,0.20704993688738954,1.3573892567682517,9.473672590347316,,,,,,,,,,
EURUSD,1h,V3_TF,20.0,50.0,2.0,3.0,3.0,0.8,2.0,0.33,0.6937595649713357,0.7822636743543675,0.4035171261625632,0.11760385309280175,2.3614036153327076,5.724526738268322,,,,,,,,,,
EURUSD,1h,V3_TF,40.0,200.0,1.5,2.0,2.0,1.0,2.0,0.33,1.6140244408625122,2.0758792821028873,0.8075136115682449,0.2118848063514372,1.2914851554031297,5.4206457017056975,,,,,,,,,,
EURUSD,1h,V3_TF,40.0,200.0,1.5,1.5,2.0,1.2,2.0,0.5,0.8259341950506176,1.0140208588897603,0.683254938154441,0.05378779962275178,1.7051698365925465,7.319486012058153,,,,,,,,,,
EURUSD,1h,V3_TF,60.0,50.0,1.0,1.5,2.0,0.8,1.5,0.33,0.7821399705008727,1.0468068957195662,0.44664199254548237,0.24364864636822003,2.0133976923124135,14.77002253778615,,,,,,,,,,
EURUSD,1h,V3_TF,20.0,100.0,2.0,2.0,0.0,0.8,1.5,0.5,0.8036647764404636,0.9977736041770381,0.48509157504593897,0.1452790451523946,2.390247118319712,11.541933155825088,,,,,,,,,,
EURUSD,1h,V3_TF,40.0,50.0,1.5,2.0,3.0,0.8,1.5,0.5,1.0469839444975024,1.4605202709507128,0.8740876152382929,0.06130277226785885,1.9145480769632623,7.6019620860602934,,,,,,,,,,
EURUSD,1h,V3_TF,20.0,50.0,2.0,3.0,1.0,0.8,2.0,0.5,1.3712514761699726,1.842281698706793,1.0697972393452106,0.10208698598754565,1.7669991082679979,11.974731881095789,,,,,,,,,,
EURUSD,1h,V3_TF,40.0,200.0,1.0,2.0,2.0,1.2,2.0,0.5,1.294992496625144,1.5859832818706554,1.283790245119908,0.10322620881864382,1.9383937232971067,11.666147077899186,,,,,,,,,,
EURUSD,1h,V3_TF,60.0,50.0,2.0,1.5,3.0,0.8,1.5,0.33,0.8677524225895556,1.196798238386865,0.7228501135390524,0.23061641669543925,1.4865150057587773,5.484540363162772,,,,,,,,,,
EURUSD,1h,V3_TF,20.0,50.0,1.5,3.0,1.0,1.0,1.5,0.5,0.8399623420728626,1.1074506816996184,0.4288254704149054,0.23671875524064662,1.869254336721729,9.103279846436376,,,,,,,,,,
EURUSD,1h,V3_TF,40.0,200.0,1.5,1.5,0.0,1.0,2.0,0.5,0.9260489075601246,1.2916944343924173,0.815159084898619,0.053205952546743145,1.5762017450416037,12.608721410108057,,,,,,,,,,
EURUSD,1h,V3_TF,20.0,50.0,1.5,3.0,0.0,1.0,1.5,0.33,1.6405261913991807,2.103901804490628,1.241840575389176,0.15451287954554807,2.3369578197111176,11.512390970840041,,,,,,,,,,
EURUSD,1h,V3_TF,40.0,200.0,2.0,2.0,3.0,0.8,2.0,0.5,1.6653333166548123,2.035417629727529,1.4402577661338822,0.2268355710885815,2.146354062333135,9.064613162295052,,,,,,,,,,
EURUSD,1h,V3_TF,20.0,100.0,2.0,3.0,2.0,0.8,2.0,0.5,1.6502638059715764,1.9844440266978574,1.5859164426988703,0.19372602644794729,1.5266873560000631,6.514208266264117,,,,,,,,,,
EURUSD,1h,V3_TF,40.0,100.0,2.0,1.5,1.0,1.0,1.5,0.5,0.714458943579898,0.8363505668213275,0.46979667072635584,0.23919477655675286,1.9910188544448055,10.4786304398976,,,,,,,,,,
EURUSD,1h,V3_TF,60.0,50.0,1.5,2.0,0.0,0.8,2.0,0.33,0.8514923133633066,1.1234746181284803,0.4692398644771151,0.0751689321462207,1.5591825317641193,13.39379837990175,,,,,,,,,,
EURUSD,1h,V3_TF,40.0,200.0,1.0,1.5,1.0,1.0,1.5,0.5,1.0973848920151155,1.3528062451204836,0.9303484793265011,0.1555367655832271,1.4327152704245396,11.176797176416251,,,,,,,,,,
EURUSD,1h,V3_TF,40.0,100.0,1.0,1.5,1.0,1.2,2.0,0.5,0.7732602105074895,0.8543830588242659,0.5630582322972731,0.1947050133032211,1.1801737292786363,14.69777912979098,,,,,,,,,,
EURUSD,1h,V3_TF,60.0,100.0,1.5,1.5,1.0,0.8,2.0,0.5,1.6677302899423574,2.0324515637896625,1.6219666368604213,0.08161623980057212,2.044865334236585,5.660987369346159,,,,,,,,,,
EURUSD,1h,V3_TF,20.0,200.0,2.0,3.0,3.0,0.8,2.0,0.33,0.6128713044230376,0.7935596958760275,0.3460417020066149,0.231412262639423,2.117558031802352,12.498509510642016,,,,,,,,,,
EURUSD,1h,V3_TF,40.0,100.0,1.5,1.5,2.0,1.2,2.0,0.5,0.7301733665636712,0.9758737139079267,0.5043201618142523,0.17791133760318728,1.3242026548312968,10.176038869855757,,,,,,,,,,
EURUSD,1h,V3_TF,60.0,200.0,2.0,1.5,3.0,0.8,2.0,0.33,0.6712729180194406,0.9217922403606785,0.6571261789886391,0.1469371902166228,1.4714253056202398,12.641256049242324,,,,,,,,,,
EURUSD,1h,V3_TF,40.0,100.0,1.0,3.0,2.0,1.2,1.5,0.33,1.8229614967220626,2.0910479418375036,1.2797970455720018,0.20669357787207782,1.4800835924773514,12.710987381122404,,,,,,,,,,
EURUSD,1h,V3_TF,40.0,50.0,1.5,1.5,3.0,1.0,1.5,0.5,1.820332345855333,2.019542184010802,1.0172847072571085,0.18956382516364645,1.2497075668670985,11.892190416847264,,,,,,,,,,
EURUSD,1h,V3_TF,20.0,200.0,2.0,2.0,2.0,0.8,2.0,0.5,0.6323502604907754,0.8548175616437536,0.43694396430248056,0.20977435838095176,1.391109309988118,7.3050939531549295,,,,,,,,,,
EURUSD,1h,V3_TF,20.0,200.0,1.5,1.5,0.0,1.2,1.5,0.5,1.8218936230351888,2.2923151364290004,1.0246760441081004,0.11517535022921632,1.701870570457688,13.736390622972916,,,,,,,,,,
EURUSD,1h,V3_TF,60.0,100.0,1.5,2.0,3.0,0.8,1.5,0.5,0.8569216394377406,1.186975401569537,0.7592517708749561,0.08877918397598378,2.14881943733977,9.371365259341836,,,,,,,,,,
EURUSD,1h,V3_TF,20.0,100.0,2.0,1.5,1.0,1.0,1.5,0.33,0.9158599993598591,1.0387528605458338,0.5315148480989185,0.249996372967079,2.059522295111446,13.982669688410219,,,,,,,,,,
EURUSD,1h,V3_TF,60.0,50.0,1.5,3.0,2.0,1.0,2.0,0.5,1.9790979876175314,2.4255554154567385,1.3452724140306587,0.055370758722865523,1.2690558059164896,14.542476153194235,,,,,,,,,,
EURUSD,1h,V3_TF,60.0,100.0,1.5,1.5,2.0,0.8,2.0,0.33,1.5878247975031,2.127384898370661,1.3416236193099806,0.189887414840691,2.445953997086201,7.1617039751648175,,,,,,,,,,
EURUSD,1h,V3_TF,20.0,200.0,1.0,3.0,3.0,0.8,2.0,0.5,1.0082116113690447,1.3695350286897154,0.9794681920980579,0.166267629409025,1.3523806556067817,5.1743812833150304,,,,,,,,,,
EURUSD,1h,V3_TF,20.0,50.0,2.0,1.5,3.0,1.2,2.0,0.5,1.346596638488989,1.499699659294393,0.9494716848023846,0.13271165832565962,1.4318581540236486,12.961655155092943,,,,,,,,,,
EURUSD,1h,V3_TF,40.0,200.0,1.5,2.0,0.0,0.8,1.5,0.33,1.3495864677731266,1.849055958970834,0.9912286594727309,0.23636591351647118,2.070054138000814,13.610148406463416,,,,,,,,,,
EURUSD,1h,V3_TF,20.0,200.0,2.0,2.0,2.0,1.0,1.5,0.5,1.7256371709971727,2.1552361728640537,1.5631515151922428,0.07851001270647628,1.5647015200967127,7.477023897604875,,,,,,,,,,
EURUSD,1h,V3_TF,40.0,100.0,2.0,3.0,3.0,0.8,2.0,0.5,1.6161878426756378,1.8004494945359117,0.9986450449700068,0.21013785577403227,2.1032817838671023,14.250479514538641,,,,,,,,,,
EURUSD,1h,V3_TF,40.0,100.0,2.0,1.5,0.0,1.2,2.0,0.5,1.7648737908854855,2.021210255776187,1.4552541325357404,0.13753400792241754,2.3279563964330103,12.212224575742258,,,,,,,,,,
EURUSD,1h,V3_TF,60.0,200.0,1.0,3.0,2.0,1.2,1.5,0.33,1.350347431968001,1.7757418450048958,0.8721077317925731,0.14448860483748582,1.8339009571668212,13.109509259429688,,,,,,,,,,
EURUSD,1h,V3_TF,40.0,50.0,1.0,3.0,1.0,0.8,2.0,0.33,1.5444219392598517,1.844501104495861,1.3257730656863422,0.1111516081868133,1.357875989469052,5.843547282408462,,,,,,,,,,
EURUSD,1h,V3_TF,60.0,50.0,2.0,3.0,0.0,1.2,2.0,0.5,1.3898986676381226,1.6237066167957201,0.9903148720911747,0.08908551937673426,1.9491229095236666,6.117841166719935,,,,,,,,,,
EURUSD,1h,V3_TF,40.0,100.0,1.0,3.0,1.0,0.8,2.0,0.33,1.4159404527879653,1.8069595906793745,1.0345741569485234,0.14108145508203135,2.4426215712062374,6.751081220811789,,,,,,,,,,
EURUSD,1h,V3_TF,20.0,200.0,2.0,1.5,2.0,0.8,2.0,0.5,1.8698967918577243,2.59316259763203,1.2638702485862479,0.17547309903186364,1.7667158821399527,11.726800357940284,,,,,,,,,,
EURUSD,1h,V3_TF,40.0,200.0,2.0,1.5,3.0,1.2,2.0,0.33,1.4961875609374486,1.9048755004564435,1.3154978172609908,0.12217294436639466,1.7555720845203266,5.352221165075331,,,,,,,,,,
EURUSD,1h,V3_TF,20.0,50.0,2.0,1.5,0.0,1.2,2.0,0.5,1.6290977909104762,2.0946024070126845,1.1851776221477268,0.1552150014911413,1.8735777142938181,12.712263184054223,,,,,,,,,,
EURUSD,1h,V3_TF,20.0,100.0,1.0,2.0,0.0,0.8,2.0,0.5,1.708108422884545,1.9886221149996313,1.2208695472535545,0.15307747521301024,1.9507921991343118,10.535312945814324,,,,,,,,,,
EURUSD,1h,V3_TF,40.0,100.0,2.0,2.0,2.0,1.2,1.5,0.33,0.9763210032151899,1.3583195224774125,0.8680734233303546,0.08984693602361896,1.8139574030593093,6.90920481970812,,,,,,,,,,
EURUSD,1h,V3_TF,20.0,100.0,1.5,3.0,0.0,0.8,2.0,0.5,0.5679940835634258,0.7655586637097144,0.3413236941369382,0.21555118644821625,2.4500891362327955,12.567518475270573,,,,,,,,,,
EURUSD,1h,V3_TF,60.0,100.0,1.0,2.0,2.0,1.0,1.5,0.5,1.1974462559319117,1.5930800652962491,0.7839787521728412,0.08630963132920699,1.6409415697664822,8.275962662590139,,,,,,,,,,
EURUSD,1h,V3_TF,40.0,50.0,1.0,3.0,0.0,1.2,1.5,0.5,1.7331523776043642,1.9126564026084056,1.206892072973624,0.08567211288504581,2.071127378730349,9.966515176133768,,,,,,,,,,
EURUSD,1h,V3_TF,20.0,100.0,1.5,1.5,3.0,1.2,2.0,0.33,0.5377669285458496,0.683405385330947,0.2720172639257029,0.23758975832726498,1.1094658168688207,14.513055236518802,,,,,,,,,,
EURUSD,1h,V3_TF,60.0,200.0,2.0,2.0,2.0,1.0,2.0,0.33,0.5087962997906506,0.639028517915542,0.3097242653193852,0.0806367054949298,1.1025955071031237,12.129258422283296,,,,,,,,,,
EURUSD,1h,V3_TF,40.0,100.0,1.5,3.0,2.0,1.2,2.0,0.33,1.7095196120986795,2.2242772034092853,1.3738716516717118,0.08074627952049132,2.4936192881720363,8.504069063324867,,,,,,,,,,
EURUSD,1h,V3_TF,40.0,50.0,2.0,3.0,3.0,1.2,2.0,0.5,1.7602874371751236,2.2328188175823795,1.0046995532633067,0.19033893727225587,1.1867235277452146,8.752824093505595,,,,,,,,,,
EURUSD,1h,V3_TF,20.0,50.0,1.5,1.5,1.0,1.0,1.5,0.33,1.2875228879747964,1.753869830040886,0.8975935427348183,0.15030912457771572,1.685583750021633,10.645411712570994,,,,,,,,,,
EURUSD,1h,V3_TF,60.0,50.0,1.5,1.5,0.0,0.8,1.5,0.5,0.8088732853835721,1.1011211748752852,0.7470613877397208,0.19543911352022802,2.427262860517292,11.266508211879096,,,,,,,,,,
EURUSD,1h,V3_TF,20.0,50.0,2.0,1.5,2.0,1.0,1.5,0.5,1.8809156003983958,2.6148190934987197,1.3354056730752621,0.0944913662395174,2.002804649016687,13.625972339583473,,,,,,,,,,
EURUSD,1h,V3_TF,60.0,100.0,1.0,3.0,0.0,1.2,2.0,0.5,1.8446791981463047,2.0317949917704676,0.9530290459451952,0.20465106271957145,1.2416715986144244,7.171149824985397,,,,,,,,,,
EURUSD,1h,V3_TF,40.0,200.0,1.0,3.0,2.0,1.0,1.5,0.5,0.9976854509318638,1.2735802813396782,0.633758548345739,0.05084070307677509,2.071655042994102,10.23686280139951,,,,,,,,,,
EURUSD,1h,V3_TF,40.0,200.0,1.5,1.5,3.0,1.0,2.0,0.5,1.881239016284978,2.1265069062841397,1.7159966929137533,0.0849199866034573,1.9344568551442638,12.745086101644238,,,,,,,,,,
EURUSD,1h,V3_TF,60.0,100.0,1.5,2.0,1.0,1.0,1.5,0.33,0.5426089502375614,0.6953434106764493,0.4656164247459372,0.14406477284460156,1.7883491830899891,8.974124818303899,,,,,,,,,,
EURUSD,1h,V3_TF,60.0,200.0,1.0,3.0,2.0,1.2,1.5,0.5,0.5951249217966024,0.7475963275430837,0.4665347915905173,0.1063741842361756,2.367593933936821,9.901287921070466,,,,,,,,,,
EURUSD,1h,V3_TF,60.0,100.0,2.0,1.5,3.0,0.8,2.0,0.5,0.6886967642114797,0.7812780617207974,0.44802353497923453,0.059952833046630884,1.6489311582642565,14.3440033638263,,,,,,,,,,
EURUSD,1h,V3_TF,20.0,200.0,2.0,3.0,3.0,0.8,1.5,0.5,1.1306918751678694,1.5418899453235644,0.9481764792404566,0.1581127279858,1.759920030658308,7.720771039585808,,,,,,,,,,
EURUSD,1h,V3_TF,40.0,50.0,1.0,3.0,0.0,0.8,1.5,0.5,1.1830696299440564,1.5396079275055707,0.8891567645190837,0.17798562439256532,1.2038265413934237,13.889847819658584,,,,,,,,,,
EURUSD,1h,V3_TF,60.0,50.0,1.5,3.0,1.0,0.8,2.0,0.5,1.4241578891005642,1.9530031266749104,1.1139413025640859,0.09625595980374967,2.003699279916732,14.966448789447371,,,,,,,,,,
EURUSD,1h,V3_TF,40.0,50.0,1.0,3.0,3.0,1.0,2.0,0.33,1.915400139285932,2.132343367264471,1.2987853943105236,0.2351737119885282,2.216698649332934,14.832286664750786,,,,,,,,,,
EURUSD,1h,V3_TF,40.0,200.0,1.5,3.0,2.0,1.2,2.0,0.33,0.5982652298995585,0.6630982611724006,0.47370220910037397,0.06294655408315093,1.7341856184525728,14.252275601729234,,,,,,,,,,
EURUSD,1h,V3_TF,40.0,100.0,2.0,1.5,1.0,1.0,2.0,0.33,0.6003002942907165,0.6873313354438514,0.37391764232226404,0.18685872047127178,1.4931154776605728,13.596903215160768,,,,,,,,,,
EURUSD,1h,V3_TF,40.0,200.0,1.5,2.0,1.0,1.2,2.0,0.5,1.3248287917645483,1.6060534266663007,0.7401449842182026,0.21021919729422633,2.0871761548462713,5.407895226761211,,,,,,,,,,
EURUSD,1h,V3_TF,60.0,100.0,1.5,3.0,0.0,0.8,1.5,0.33,1.9720985754086675,2.277206498473003,1.1043236594258536,0.24345488686889222,1.613225513193894,6.818315979455493,,,,,,,,,,
EURUSD,1h,V3_TF,40.0,100.0,1.0,3.0,3.0,1.2,1.5,0.33,0.6645563755825661,0.7396307177391312,0.6424726967851413,0.12269611896756877,1.197099715426881,13.661647140986638,,,,,,,,,,
